#UTX 1.20; lang: en/pt; creation date:2020-08-29; domain:computer; license: CC BY-NC 4.0														
#https://www.localeplanet.com/icu/pt/index.html														
#src:en	src:pos	tgt:pt	term status:pt	comment:pt	tgt:pt-BR	term status:pt-BR	comment:pt-BR	tgt:pt-PT	term status:pt-PT	comment:pt-PT	tgt:pt-AO	term status:pt-AO	comment:pt-AO	concept id
desktop as a service		ambiente de trabalho como serviço												
dial­up access		ligação por linha comutada												
digital age		era digital												
digital audio		áudio digital												
digital certification		certificação digital												
digital compression		compressão digital												
digital content		conteúdo eletrónico												
digital corporation		empresa digital												
digital divide		divisão digital												
digital economy		economia eletrónica												
digital exclusion		infoexclusão												
digital identity		identidade digital												
digital inclusion		infoinclusão												
digital library		biblioteca digital												
digital media		meios de comunicação digitais												
digital mobile key		chave móvel digital												
digital music player		leitor de música digital												
digital network		rede digital												
digital preservation		preservação digital												
digital rights management		gestão de direitos digitais												
digital signal		sinal digital												
digital signature		assinatura digital												
digital subscriber line		linha de subscritor digital												
digital television		televisão digital												
digital terrestrial television		televisão digital terrestre												
digital transmission		transmissão digital												
digital versatile disk		disco versátil digital												
digital video		vídeo digital												
digital video broadcasting		difusão de vídeo digital												
digital video interactive		vídeo digital interativo												
digital wallet		carteira eletrónica												
digitalisation		digitalização												
direct­to­home		direto para casa												
disaster recovery		recuperação de desastre												
disclosure of data		divulgação de dados												
distributed computing		computação Distribuída												
distribution list		lista de distribuição												
Document Management and Electronic Archiving		Gestão e Arquivo Eletrónico de Documentos												
documentation management		gestão documental												
domain		domínio												
domain name		nome de domínio												
Domain Name System		sistema DNS												
domotics home automation		domótica												
download (to)		descarregar												
drafts		caixa de rascunhos												
dribbleware		software ajustável												
Dublin Core		Dublin Core												
dynamic page		página dinâmica												
e­banking		banca eletrónica												
e­book		livro eletrónico												
e­business		negócio eletrónico												
e­cash		dinheiro eletrónico												
e­commerce		comércio eletrónico												
e­communication		comunicação eletrónica												
e­conference		conferência eletrónica												
e­culture		cultura eletrónica												
e­democracy		democracia eletrónica												
e­development		desenvolvimento eletrónico												
e­document		documento eletrónico												
e­education		educação eletrónica												
e­filing		declaração eletrónica												
e­government		Administração Pública eletrónica												
e­government		Governo eletrónico												
e­health		saúde eletrónica												
e­invoice		fatura eletrónica												
e­journalism		jornalismo eletrónico												
e­Justice		Justiça eletrónica												
e­kiosk		quiosque eletrónico												
e­learning		aprendizagem eletrónica												
e­magazine		revista eletrónica												
														
e­mail address		endereço (de correio) eletrónico												
e­mail server		servidor de correio (eletrónico)												
e­management		gestão eletrónica												
e­marketplace		mercado eletrónico												
e­newsletter		boletim eletrónico												
e­procurement		aprovisionamento eletrónico												
e­readiness		nível de preparação eletrónica												
e­recruitment		recrutamento eletrónico												
e­shop		loja eletrónica												
e­shopping		compras eletrónicas												
e­signature		assinatura eletrónica												
e­transactions		transações eletrónicas												
electronic administration		administração eletrónica												
electronic archive		arquivo eletrónico												
electronic authentication		autenticação eletrónica												
electronic data interchange		intercâmbio eletrónico de dados												
electronic data processing		processamento eletrónico de dados												
electronic dossier		dossiê eletrónico												
electronic form		formulário eletrónico												
electronic fund transfer		transferência eletrónica de fundos												
electronic health card		cartão de saúde eletrónico												
electronic identification card		cartão de identificação eletrónico												
electronic identification document		documento de identificação eletrónico												
electronic laws		legislação em suporte eletrónico												
electronic participation		participação eletrónica												
electronic payment		pagamento eletrónico												
electronic prescription		prescrição eletrónica												
electronic service		serviço eletrónico												
electronic tendering		concurso eletrónico												
electronic voting		votação eletrónica												
eletronic ticketing		bilhete eletrónico												
emoticon		ícone emocional												
encoding		codificação												
encryption		encriptação												
enterprise application integration		integração de aplicações empresariais												
enterprise architecture		arquitetura de empresa												
enterprise content management		gestão de conteúdos empresariais												
enterprise project management		gestão de projetos empresariais												
enterprise resource planning		planeamento de recursos empresariais												
entity		entidade												
error detection		deteção de erros												
Ethernet		Ethernet												
Ethernet hub		concentrador de rede												
European Computer Driving License		Carta Europeia de Condução em Informática												
European Network and Information Security Agency		Agência Europeia para a Segurança das Redes e da Informação												
event		evento												
event driven architecture		arquitetura orientada a eventos												
executive information system		sistema de informação para executivos												
exploit		software de exploração de vulnerabilidades												
Extended Simple Mail Transfer protocol		protocolo ESMTP												
eXtensible Markup Language		linguagem XML												
eXtensible Stylesheet Language		linguagem XSL												
extranet		extranet												
feed		feed												
feedWeb feed		fornecimento (Web)												
file		ficheiro												
file compression		compressão de ficheiros												
File Transfer protocol		protocolo FTP												
firewall		barreira de proteção												
Firewire		Tecnologia Firewire												
firmware		software permanente												
fixed telephone network		rede telefónica fixa												
fixed telephony		telefonia fixa												
flash memory		memória flash												
folksonomy		Indexação social												
form		formulário												
format (to)		formatar												
frames per second		quadros por segundo												
free and open source software		software livre/aberto												
free software		software livre												
freeware		software gratuito												
frequently asked questions		perguntas mais frequentes												
front office system		sistema informático frontal												
full­motion video		vídeo de movimento total												
gateway		porta de ligação												
General Packet Radio service		serviço GPRS												
geographical information system		sistema de informação geográfica												
Geographical Markup Language		linguagem GML												
gesture control		controlo por gestos												
global information infrastructure		infraestrutura global da informação												
Global Positioning System		sistema de posicionamento global												
Global System for Mobile Communications		sistema GSM												
global village		aldeia global												
globalisation		globalização												
good governance		boa governação												
Google file system		sistema GFS												
Governance Enterprise Architecture		arquitetura de governação empresarial												
Government gateway		plataforma de interoperabilidade do Governo												
government to business		transações Governo­empresas												
government to citizens		transações Governo­cidadãos												
government to government		transações Governo­Governo												
Graphic Interchange Format		formato GIF												
graphical user interface		interface gráfica do utilizador												
grid computing		computação em grelha												
groupware		software colaborativo												
hacker		entusiasta da informática												
Hadoop		Hadoop												
hardware		hardware												
hash algorithm		algoritmo de dispersão												
hash value hash		valor hash												
hashtag		hashtag												
health professional card		cartão profissional de saúde												
help desk		serviço de apoio												
high definition television		televisão de alta definição												
high performance computing (and communication)		computação (e comunicação) de elevado desempenho												
hoax		embuste												
home page		página principal												
host		hospedeiro												
host computer		computador hospedeiro												
hosting		alojamento virtual												
hotspot		ponto de acesso à Internet												
housing		alojamento físico												
human augmentation		melhoramento humano												
hyperlink		hiperligação												
hypertext		hipertexto												
Hypertext Markup language		linguagem HTML												
HyperText Transfer protocol		protocolo HTTP												
Hypertext Transfer protocol over Secure Socket Layer		protocolo HTTPS												
ICQ software		software ICQ												
identity authentication		autenticação de identidade												
identity management		gestão de identidades												
identity theft		roubo de identidade												
In­Memory processing		processamento em memória												
inbox		caixa de entrada												
information		informação												
information and communication infrastructure		infraestrutura da informação e comunicação												
information and communication technologies		tecnologias da informação e comunicação												
information architecture		arquitetura da informação												
information broker		intermediário de informação												
information crime		crime de informação												
information democracy		democracia da informação												
information economy		economia da informação												
information environment		ambiente de informação												
information industry		indústria da informação												
information legislation		legislação da informação												
information management		gestão da informação												
information market		mercado da informação												
information overload		sobrecarga de informação												
information policy		política de informação												
information resources		recursos de informação												
information retrieval		recuperação da informação												
information security		segurança da informação												
information services		serviços de informação												
Information Society policy		política da Sociedade da Informação												
Information Society Technologies		tecnologias da Sociedade da Informação												
information space		espaço de informação												
information sphere		esfera da informação												
information superhighway		autoestrada da informação												
information system		sistema de informação												
information technologies		tecnologias da informação												
information technology governance		governação das tecnologias da informação												
information user		utilizador de informação												
innovation process management		gestão do processo de inovação												
insourcing		contratação interna												
instant messaging		serviço de mensagens instantâneas												
integrated services digital network		rede digital com integração de serviços												
integrity		integridade												
intellectual property		propriedade intelectual												
intelligent agents		agentes inteligentes												
intelligent telephone network		rede telefónica inteligente												
interactive application		aplicação interativa												
interactive television		televisão interativa												
interactivity		interatividade												
interconnectivity		interconectividade												
interface		interface												
Internet		Internet												
Internet access provider		fornecedor de acesso à Internet												
Internet forum		fórum de discussão												
Internet Message Access Protocol ­version 4		protocolo IMAP4												
Internet of things		Internet das coisas												
Internet Protocol		protocolo IP												
Internet Protocol address		endereço IP												
Internet Protocol Television		Televisão sobre IP												
Internet Protocol version 4		protocolo IP versão 4												
Internet Protocol version 6		protocolo IP versão 6												
Internet telephony		telefonia Internet												
Internet terminal		terminal Internet												
Internet TV		televisão pela Internet												
Internet2		Internet2												
Internet Net		Internet												
interoperability		interoperabilidade												
interoperability framework		plataforma de interoperabilidade												
intranet		intranet												
intruder		intruso informático												
